recipe_id,job_id,job_name,item_id,item_name,recipe_level,apparent_recipe_level,max_durability,max_progress,max_quality,material_factor,base_exp,progress_factor,quality_factor,durability_factor,is_expert,req_craftsmanship,req_control,ing1_id,ing1_name,ing1_amount,ing1_ilvl,ing1_initial_quality,ing1_job_id,ing1_job_name,ing1_recipe_level,ing1_base_exp,ing2_id,ing2_name,ing2_amount,ing2_ilvl,ing2_initial_quality,ing2_job_id,ing2_job_name,ing2_recipe_level,ing2_base_exp,ing3_id,ing3_name,ing3_amount,ing3_ilvl,ing3_initial_quality,ing3_job_id,ing3_job_name,ing3_recipe_level,ing3_base_exp,ing4_id,ing4_name,ing4_amount,ing4_ilvl,ing4_initial_quality,ing4_job_id,ing4_job_name,ing4_recipe_level,ing4_base_exp,ing5_id,ing5_name,ing5_amount,ing5_ilvl,ing5_initial_quality,ing5_job_id,ing5_job_name,ing5_recipe_level,ing5_base_exp,ing6_id,ing6_name,ing6_amount,ing6_ilvl,ing6_initial_quality,ing6_job_id,ing6_job_name,ing6_recipe_level,ing6_base_exp
1,1,BSM,5056,Bronze Ingot,1,1,40,9,80,0,540,50,80,67,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,BSM,2546,Bronze Hatchet,1,1,60,19,100,50,540,100,100,100,False,0,0,5056,Bronze Ingot,1,1,25,1,BSM,1,540,5361,Maple Lumber,1,1,25,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,BSM,1602,Bronze Bastard Sword,2,2,60,20,110,50,582,100,100,100,False,0,0,5056,Bronze Ingot,1,1,27,1,BSM,1,540,5361,Maple Lumber,1,1,27,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,BSM,2355,Amateur's File,2,2,60,20,110,50,582,100,100,100,False,0,0,5056,Bronze Ingot,2,1,36,1,BSM,1,540,5275,Leather,1,1,18,4,LTW,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,BSM,5091,Bronze Rivets,3,3,40,10,96,50,630,50,80,67,False,0,0,5056,Bronze Ingot,1,1,48,1,BSM,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,BSM,1750,Bronze War Axe,3,3,60,20,120,50,630,100,100,100,False,0,0,5056,Bronze Ingot,2,1,40,1,BSM,1,540,5361,Maple Lumber,1,1,20,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,BSM,2380,Amateur's Pliers,3,3,60,20,120,50,630,100,100,100,False,0,0,5056,Bronze Ingot,1,1,15,1,BSM,1,540,5091,Bronze Rivets,1,2,30,2,ARM,2,582,5482,Fish Oil,1,1,15,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,BSM,2430,Amateur's Awl,4,4,60,21,130,50,795,100,100,100,False,0,0,5056,Bronze Ingot,1,1,21,1,BSM,1,540,5361,Maple Lumber,1,1,21,0,CRP,1,540,5482,Fish Oil,1,1,21,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,BSM,2315,Bronze Saw,4,4,60,21,130,50,795,100,100,100,False,0,0,5056,Bronze Ingot,1,1,16,1,BSM,1,540,5091,Bronze Rivets,1,2,32,2,ARM,2,582,5361,Maple Lumber,1,1,16,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,BSM,2328,Amateur's Claw Hammer,5,5,60,33,150,50,996,100,100,100,False,0,0,5056,Bronze Ingot,1,1,25,1,BSM,1,540,5361,Maple Lumber,1,1,25,0,CRP,1,540,5482,Fish Oil,1,1,25,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,BSM,2341,Bronze Cross-pein Hammer,5,5,60,33,150,50,996,100,100,100,False,0,0,5056,Bronze Ingot,1,1,18,1,BSM,1,540,5324,Undyed Hempen Cloth,1,2,37,5,WVR,2,582,5361,Maple Lumber,1,1,18,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,BSM,2367,Bronze Doming Hammer,5,5,60,33,150,50,996,100,100,100,False,0,0,5056,Bronze Ingot,1,1,37,1,BSM,1,540,5361,Maple Lumber,1,1,37,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,BSM,2507,Amateur's Culinary Knife,6,6,60,36,170,50,1050,100,100,100,False,0,0,5056,Bronze Ingot,1,1,10,1,BSM,1,540,5361,Maple Lumber,1,1,10,0,CRP,1,540,5258,Ragstone Whetstone,1,6,63,3,GSM,6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,BSM,2481,Amateur's Mortar,6,6,60,36,170,50,1050,100,100,100,False,0,0,5056,Bronze Ingot,2,1,56,1,BSM,1,540,5361,Maple Lumber,1,1,28,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,BSM,1603,Viking Sword,7,7,60,37,190,50,1176,100,100,100,False,0,0,5056,Bronze Ingot,1,1,47,1,BSM,1,540,5275,Leather,1,1,47,4,LTW,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,BSM,2392,Bronze Chaser Hammer,7,7,60,37,190,50,1176,100,100,100,False,0,0,5056,Bronze Ingot,1,1,23,1,BSM,1,540,5091,Bronze Rivets,1,2,47,2,ARM,2,582,5361,Maple Lumber,1,1,23,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,BSM,1751,Bronze Labrys,7,7,60,37,190,50,1176,100,100,100,False,0,0,5056,Bronze Ingot,2,1,63,1,BSM,1,540,5361,Maple Lumber,1,1,31,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,BSM,2520,Bronze Pickaxe,8,8,60,41,210,50,1263,100,100,100,False,0,0,5056,Bronze Ingot,1,1,26,1,BSM,1,540,5324,Undyed Hempen Cloth,1,2,52,5,WVR,2,582,5361,Maple Lumber,1,1,26,0,CRP,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,BSM,2417,Bronze Head Knife,8,8,60,41,210,50,1263,100,100,100,False,0,0,5056,Bronze Ingot,1,1,13,1,BSM,1,540,5361,Maple Lumber,1,1,13,0,CRP,1,540,5258,Ragstone Whetstone,1,6,78,3,GSM,6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,BSM,1752,Cloud Axe,9,9,60,63,172,50,1356,150,75,100,False,0,0,1750,Bronze War Axe,1,5,71,1,BSM,3,630,5056,Bronze Ingot,1,1,14,1,BSM,1,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,BSM,2329,Bronze Claw Hammer,9,9,60,42,230,50,1356,100,100,100,False,0,0,5056,Bronze Ingot,1,1,38,1,BSM,1,540,5361,Maple Lumber,1,1,38,0,CRP,1,540,5482,Fish Oil,1,1,38,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,BSM,2356,Bronze File,10,10,60,45,250,50,1437,100,100,100,False,0,0,5056,Bronze Ingot,2,1,25,1,BSM,1,540,5276,Hard Leather,1,8,100,4,LTW,8,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,BSM,2381,Bronze Pliers,10,10,60,45,250,50,1437,100,100,100,False,0,0,5056,Bronze Ingot,1,1,9,1,BSM,1,540,5091,Bronze Rivets,1,2,19,2,ARM,2,582,4856,Clove Oil,1,10,96,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,BSM,2482,Bronze Mortar,10,10,60,45,250,50,1437,100,100,100,False,0,0,5056,Bronze Ingot,2,1,20,1,BSM,1,540,5364,Ash Lumber,1,10,104,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,BSM,2342,Amateur's Cross-pein Hammer,10,10,60,45,250,50,1437,100,100,100,False,0,0,5056,Bronze Ingot,1,1,9,1,BSM,1,540,5324,Undyed Hempen Cloth,1,2,19,5,WVR,2,582,5364,Ash Lumber,1,10,96,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,BSM,2393,Amateur's Chaser Hammer,10,10,60,45,250,50,1437,100,100,100,False,0,0,5056,Bronze Ingot,1,1,9,1,BSM,1,540,5091,Bronze Rivets,1,2,19,2,ARM,2,582,5364,Ash Lumber,1,10,96,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,BSM,2431,Bronze Awl,11,11,60,48,270,50,1629,100,100,100,False,0,0,5056,Bronze Ingot,1,1,6,1,BSM,1,540,5364,Ash Lumber,1,10,64,0,CRP,10,1437,5483,Jellyfish Humours,1,10,64,6,ALC,19,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,BSM,2560,Bronze Scythe,11,11,60,48,270,50,1629,100,100,100,False,0,0,5056,Bronze Ingot,1,1,7,1,BSM,1,540,5364,Ash Lumber,1,10,79,0,CRP,10,1437,5258,Ragstone Whetstone,1,6,47,3,GSM,6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,BSM,2368,Amateur's Doming Hammer,11,11,60,48,270,50,1629,100,100,100,False,0,0,5056,Bronze Ingot,1,1,12,1,BSM,1,540,5364,Ash Lumber,1,10,122,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,BSM,2521,Amateur's Pickaxe,11,11,60,48,270,50,1629,100,100,100,False,0,0,5056,Bronze Ingot,1,1,10,1,BSM,1,540,5324,Undyed Hempen Cloth,1,2,20,5,WVR,2,582,5364,Ash Lumber,1,10,103,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,BSM,2418,Amateur's Head Knife,11,11,60,48,270,50,1629,100,100,100,False,0,0,5056,Bronze Ingot,1,1,7,1,BSM,1,540,5364,Ash Lumber,1,10,79,0,CRP,10,1437,5258,Ragstone Whetstone,1,6,47,3,GSM,6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,BSM,2508,Bronze Culinary Knife,12,12,60,53,290,50,1725,100,100,100,False,0,0,5056,Bronze Ingot,1,1,8,1,BSM,1,540,5364,Ash Lumber,1,10,85,0,CRP,10,1437,5258,Ragstone Whetstone,1,6,51,3,GSM,6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,BSM,2534,Bronze Sledgehammer,12,12,60,53,290,50,1725,100,100,100,False,0,0,5056,Bronze Ingot,1,1,12,1,BSM,1,540,5364,Ash Lumber,1,10,120,0,CRP,10,1437,5503,Animal Glue,1,1,12,6,ALC,2,582,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,BSM,2316,Amateur's Saw,12,12,60,53,290,50,1725,100,100,100,False,0,0,5056,Bronze Ingot,1,1,11,1,BSM,1,540,5091,Bronze Rivets,1,2,22,2,ARM,2,582,5364,Ash Lumber,1,10,111,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,BSM,2547,Amateur's Hatchet,12,12,60,53,290,50,1725,100,100,100,False,0,0,5056,Bronze Ingot,1,1,13,1,BSM,1,540,5364,Ash Lumber,1,10,131,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,BSM,2394,Bronze Ornamental Hammer,12,12,60,79,217,50,1725,150,75,100,False,0,0,2393,Amateur's Chaser Hammer,1,11,79,1,BSM,10,1437,5091,Bronze Rivets,2,2,28,2,ARM,2,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,BSM,1684,Bronze Knuckles,13,13,60,54,310,50,1875,100,100,100,False,0,0,5056,Bronze Ingot,2,1,31,1,BSM,1,540,5276,Hard Leather,1,8,124,4,LTW,8,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,BSM,1605,Bronze Spatha,13,13,60,54,310,50,1875,100,100,100,False,0,0,5056,Bronze Ingot,1,1,17,1,BSM,1,540,5276,Hard Leather,1,8,137,4,LTW,8,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,BSM,1753,Spiked Bronze Labrys,14,14,60,54,330,50,1917,100,100,100,False,0,0,5056,Bronze Ingot,3,1,38,1,BSM,1,540,5364,Ash Lumber,1,10,126,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,BSM,2419,Brass Head Knife,14,14,60,81,247,50,1917,150,75,100,False,0,0,2417,Bronze Head Knife,1,8,35,1,BSM,8,1263,5258,Ragstone Whetstone,1,6,26,3,GSM,6,1050,5063,Brass Ingot,1,14,61,3,GSM,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,BSM,2343,Birdsbeak Hammer,15,15,70,55,360,50,2067,100,100,100,False,0,0,5056,Bronze Ingot,1,1,5,1,BSM,1,540,5325,Undyed Cotton Cloth,1,13,68,5,WVR,13,1875,5364,Ash Lumber,1,10,52,0,CRP,10,1437,5483,Jellyfish Humours,1,10,52,6,ALC,19,2700,,,,,,,,,,,,,,,,,,
42,1,BSM,2369,Bronze Raising Hammer,15,15,70,55,360,50,2067,100,100,100,False,0,0,5056,Bronze Ingot,1,1,12,1,BSM,1,540,5071,Bronze Plate,1,3,38,2,ARM,3,630,5364,Ash Lumber,1,10,128,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,BSM,5057,Iron Ingot,16,16,40,31,312,0,2241,50,80,58,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
