Culinarians_Primary_Tool | Steel Frypan | Slots: 0 | Craftsmanship: 78 | Control: 45 | Cp: 0
Culinarians_Secondary_Tool | Wrapped Steel Culinary Knife | Slots: 0 | Craftsmanship: 73 | Control: 41 | Cp: 0
Head | Holy Rainbow Wedge Cap | Slots: 0 | Craftsmanship: 0 | Control: 52 | Cp: 0
Body | Holy Rainbow Coatee | Slots: 0 | Craftsmanship: 137 | Control: 52 | Cp: 0
Hands | Holy Rainbow Gloves | Slots: 0 | Craftsmanship: 0 | Control: 52 | Cp: 0
Legs | Holy Rainbow Bottoms | Slots: 0 | Craftsmanship: 0 | Control: 52 | Cp: 0
Feet | Holy Rainbow Shoes | Slots: 0 | Craftsmanship: 0 | Control: 52 | Cp: 0
Earrings | Yeti Fang Earrings | Slots: 0 | Craftsmanship: 0 | Control: 0 | Cp: 34
Necklace | Holy Cedar Necklace | Slots: 0 | Craftsmanship: 0 | Control: 0 | Cp: 38
Bracelets | Holy Cedar Armillae | Slots: 0 | Craftsmanship: 0 | Control: 0 | Cp: 36
Ring | Holy Cedar Ring | Slots: 0 | Craftsmanship: 0 | Control: 0 | Cp: 18
Ring | Holy Cedar Ring | Slots: 0 | Craftsmanship: 0 | Control: 0 | Cp: 18
